applicability,service,reporting_period,section,indicator,scope,value,contextual information
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content,Total number,4738,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,188,
Only for providers of online platforms,justeattakeaway.com,2025-02-17/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,209,
