Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,98,0,127,0,17.25,0,127,0,0,0,'selling prohibited items' refers to the user reporting reason,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,0,0,14,0,21.5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0,0,113,0,13,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,'selling prohibited items',98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,42,0,0,0,0,0,0,0,0,0,'graphic or violent images' refers to the user reporting reason,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,KEYWORD_OTHER,'graphic or violent images',42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Only for providers of hosting services, including online platforms",Depop,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
