ty,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions upheld,6,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions partially reversed,0,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions reversed,0,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Median time,154.94,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions partially reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Median time,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,44,We report on total appeals recieved under article 16.
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,31,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,13,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,425.45,in Hours
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,8,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,6,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,0,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,2,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,588,in Hours
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,0,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content ,Total number,1,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,,
Only for providers of online platforms,Booking.com,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,,
