Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_INTELLECTUAL_PROPERTY_INFRINGEMENTS_THIRD_PARTY_VIOLATION_OR_DATA_VIOLATION,"Added category to capture Article 9 member state order submissions alleging intellectual property content violations. Also, Article 10 member state order submissions alleging intellectual property or data violations.",TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,0,0,0,0,5,0,144.77,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,TOTAL,0,0,0,0,5,0,144.77,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,0,0,0,0,8,0,189.45,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,TOTAL,0,0,0,0,1,0,97.59,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_FUGITIVE,"Added category to record Article 10 member state order submissions to provide information alleging a fugitive as the reason for the request.
",TOTAL,0,0,0,0,3,0,0.40,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_TRESPASS_PROPERTY_AND_ENVIRONMENTAL_DAMAGE,Added category to record Article 10 member state order submissions to provide information alleging property or environmental damage as the reason for the request.,TOTAL,0,0,0,0,4,0,215.07,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,0,0,0,0,117,0,199.46,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,0,0,0,0,4,0,390.56,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_PHISHING,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_FINANCIAL_FRAUDS_SCAMS,"Added category to record Article 10 member state order submissions to provide information alleging financial fraud and scams as the reason for the request.
",TOTAL,0,0,0,0,113,0,199.46,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_FRAUD_AND_DECEPTION,Added category to record Article 9 member state order submissions alleging fraud.,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_SPAM,Added category to record Article 9 member state order submissions alleging spam.,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_GAMBLING ,This row was added for use in other parts of our report. We have included it here for consistency across the report.,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,0,0,0,0,1,0,46.95,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,TOTAL,0,0,0,0,1,0,46.95,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,0,0,0,0,12,0,116.42,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,0,0,0,0,12,0,116.42,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_GOODS_SERVICES_NOT_PERMITTED,"Added category to record Article 9 member state order submissions alleging unsafe substances, tobacco, alcohol, unsafe medical products, or unsafe financial services.",TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_NUDITY_SEXUAL_ACTIVITY,Added category to capture Article 9 member state order submissions alleging nudity or sexual activity.,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,0,0,0,0,16,0,117.54,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,TOTAL,0,0,0,0,1,0,,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,0,0,0,0,4,0,25.66,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,0,0,0,0,1,0,176.49,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,0,0,0,0,0,0,0.00,,,,,,,
All,WhatsApp Channels,2026-01-01/2026-06-30,KEYWORD_OTHER_MURDER,Added category to record Article 10 member state order submissions to provide information alleging murder as the reason for the request.,TOTAL,0,0,0,0,2,0,166.12,,,,,,,
