Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Discord,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit inappropriate sexual conduct with teens, teen self-endangerment, drawn material sexualizing children, admissions of misconduct with children, and admissions of soliciting CSAM.",283017,34975,106456,,,,134839,,,,,,135818,64017,135818,64017,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibits the presence or
activities of violent extremist organizations and other violent groups and the sharing of
malware targeting infrastructure.",41797,28247,2471,,,,28499,,,,,,28562,10931,28562,10931,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,3547,39,2711,,,,156,,,,,,157,694,157,694,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,149,90,0,,,,133,,,,,,139,10,139,10,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_PHISHING,,161437,140682,142828,,,,56707,,,,,,57038,4826,57038,4826,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibit financial scams and fraud services. These actions also include violations by Applications of the same Discord policy.,26546,13470,4851,,,,2115,,,,,,2136,19328,2136,19328,,,,,,,,,,,,,,,,
All,Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
