Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""","Number of notices received 
",Number of Items Moderated,Median Time to take action (reports) (in hour),Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,3968,539,19,3,13,,,2,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit inappropriate sexual
conduct with teens, teen self-endangerment, drawn material sexualizing children, admissions of
misconduct with children, and admissions of soliciting CSAM",12616,683,30,51,212,,,22,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Discord,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,9473,2294,44,4,8,,,1,,,
