Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,0,0,0,0,5,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,TOTAL,,TOTAL,7,5,0,0,22,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_ANIMAL_HARM,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HIDDEN_ADVERTISEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NONCOMPLIANCE_PRICING,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE,,cs,1,0,0,0,2,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_INCITEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,cs,1,0,0,192,2,0,192,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,"de, nl, it, at",2,2,0,0,2,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,de,0,0,0,0,1,0,99,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,nl,1,1,0,189,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,it,0,0,0,0,1,0,168,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,at,1,1,0,165,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,el,1,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,el,1,0,0,244,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,cs,0,0,0,0,1,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,cs,0,0,0,0,1,0,264,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,0,0,0,0,0,0,0,,,,,,,
All,XVIDEOS.COM,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,"se, cs, de, sp",1,1,0,0,8,0,49,,,,,,,
