Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Decisions reversed,48197
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate the provision of the service,Median time,0
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Total number,43614
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions upheld,31467
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions partially reversed
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Decisions reversed,7804
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to suspend or terminate an account ,Median time,3
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Total number,99365
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions upheld,46854
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions partially reversed
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Decisions reversed,47317
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monetise information,Median time,16
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,4271
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,1870
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,116
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,54
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,4
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,4
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,163
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,932
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,22
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,1
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,434
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,1359
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,238
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,0
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content ,Total number
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,,YouTube substantively reviews each Article 16 notice it receives but does not suspend users who submit manifestly unfounded notices. 
Only for providers of online platforms,YouTube,2026-01-01/2026-06-30,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number
