Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,GR,35614,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,HU,29587,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,IE,32786,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,IT,189060,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,LV,19572,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,LT,23012,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,LU,2443,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,MT,16250,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,NL,136404,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,PL,208967,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,PT,45039,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,RO,130540,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,SK,17411,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,SI,7614,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,ES,218083,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,SE,49058,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Accuracy,[...],,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Accuracy,sv,,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Precision,bg,,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Precision,[...],,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Precision,sv,,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Recall,bg,,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Recall,[...],,
Only for VLOPs,YouTube,2025-07-01/2025-12-31,,Accuracy of the automated means - Recall,sv,,
