Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,domain,2025-02-17/2025-12-31,Category 9e,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9f,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,110,86,6:24:17.500000,12:20:17,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,3,3,8:51:16,4:51:16,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10d,KEYWORD_TERRORIST_CONTENT,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10e,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,107,85,6:10:55,12:21:06,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,57,40,18:12:35,13:08:44,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,5,3,20:54:31,16:54:31,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11e,KEYWORD_PHISHING,,TOTAL,40,29,19:39:57,12:40:33.500000,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11f,KEYWORD_PYRAMID_SCHEMES,,TOTAL,1,1,21:34:41,8:41:18,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11g,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,11,6,9:32:13,17:48:13,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12b,KEYWORD_SELF_MUTILATION,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12c,KEYWORD_SUICIDE,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12d,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13c,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14a,KEYWORD_COORDINATED_HARM,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14d,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14e,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14f,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 16,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,2,2,0:00:00,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,,TOTAL,,CY,2,2,8:28:33.500000,15:29:05,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 1,STATEMENT_CATEGORY_ANIMAL_WELFARE,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 1a,KEYWORD_ANIMAL_HARM,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 1b,KEYWORD_UNLAWFUL_SALE_ANIMALS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 1c,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2a,KEYWORD_HIDDEN_ADVERTISEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2b,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2c,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2d,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2e,KEYWORD_NONCOMPLIANCE_PRICING,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 2f,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3,STATEMENT_CATEGORY_CYBER_VIOLENCE,,CY,1,1,0:00:00,18:01:04,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3a,KEYWORD_CYBER_BULLYING_INTIMIDATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3b,KEYWORD_CYBER_HARASSMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3c,KEYWORD_CYBER_INCITEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3d,KEYWORD_CYBER_STALKING,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3f,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 3g,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,1,1,0:00:00,18:01:04,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4a,KEYWORD_BULLYING_AGAINST_GIRLS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4b,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4c,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4d,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4e,KEYWORD_INCITEMENT_AGAINST_WOMEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4f,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4g,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 4h,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 5a,KEYWORD_BIOMETRIC_DATA_BREACH,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 5b,KEYWORD_DATA_FALSIFICATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 5c,KEYWORD_MISSING_PROCESSING_GROUND,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 5d,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 5e,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 6a,KEYWORD_DEFAMATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 6b,KEYWORD_DISCRIMINATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 6c,KEYWORD_HATE_SPEECH,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 6d,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,CY,1,1,16:57:07,12:57:06,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7a,KEYWORD_COPYRIGHT_INFRINGEMENT,,CY,1,1,16:57:07,12:57:06,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7b,KEYWORD_DESIGN_INFRINGEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7c,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7d,KEYWORD_PATENT_INFRINGEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7e,KEYWORD_TRADE_SECRET_INFRINGEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7f,KEYWORD_TRADEMARK_INFRINGEMENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 7g,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 8,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 8a,KEYWORD_MISINFORMATION_DISINFORMATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 8b,KEYWORD_VIOLATION_EU_LAW,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 8c,KEYWORD_VIOLATION_NATIONAL_LAW,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 8d,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9a,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9b,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9c,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9d,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9e,KEYWORD_UNSAFE_CHALLENGES,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 9f,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10a,KEYWORD_ILLEGAL_ORGANIZATIONS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10b,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10c,KEYWORD_RISK_PUBLIC_HEALTH,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10d,KEYWORD_TERRORIST_CONTENT,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 10e,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,CY,1,1,20:37:46,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11a,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11b,KEYWORD_INAUTHENTIC_ACCOUNTS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11c,KEYWORD_INAUTHENTIC_LISTINGS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11d,KEYWORD_INAUTHENTIC_USER_REVIEWS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11e,KEYWORD_PHISHING,,CY,1,1,20:37:46,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11f,KEYWORD_PYRAMID_SCHEMES,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 11g,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12,STATEMENT_CATEGORY_SELF_HARM,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12a,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12b,KEYWORD_SELF_MUTILATION,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12c,KEYWORD_SUICIDE,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 12d,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13a,KEYWORD_PROHIBITED_PRODUCTS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13b,KEYWORD_UNSAFE_PRODUCTS,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 13c,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14,STATEMENT_CATEGORY_VIOLENCE,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14a,KEYWORD_COORDINATED_HARM,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14b,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,CY,,,,,,,,,,,,,
All,domain,2025-02-17/2025-12-31,Category 14c,KEYWORD_HUMAN_EXPLOITATION,,CY,,,,,,,,,,,,,
