Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,PRIVACY_POLICY,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,UNSECURE_DATA_HANDLING,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,HATEFUL_OR_ABUSIVE,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,ILLEGAL_OR_HARMFUL_SPEECH,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,OBSCENITY_AND_PROFANITY,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,OFFENSIVE_CONTENT,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,UNSAFE_CONTENT,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,CIRCUMVENTION,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,INTELLECTUAL PROPERTY,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,ELECTORAL,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,HACKED_POLITICAL_MATERIALS,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,POLITICAL_CONTENT,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,SOCIAL_STABILITY,TOTAL,,,,,,,,,,,,,,
All,Wallet API,2025-07-01/2025-12-31,KEYWORD_OTHER,SOCIETAL_VALUES,TOTAL,,,,,,,,,,,,,,
