Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,bg,7,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,hr,12,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,cs,17,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,da,41,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,nl,52,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,en,180,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,et,48,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,fi,26,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,fr,24,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,de,77,This dataset includes language-agnostic strings such as names and emojis.
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,el,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,hu,18,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,ga,17,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,it,31,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,lv,3,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,lt,14,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,mt,0,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,pl,25,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,pt,25,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,ro,15,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,sk,13,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,sl,6,
Only for VLOPs,Zalando,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures solely taken by automated means,es,22,
