Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,"Covers content violating Zalando's Community Guidelines ""1.2 Adult content, objectification and exploitation"" related to sexualization or exploitation of minors that is not captured by other sub-categories.",3,0,3,,"238,98",,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,,,,,,,,,,,,,,,,,,
