Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's policies on ""6.3. Child Sexual Abuse and Exploitation"" (Community Guidelines) or ""3.1.7 offensive and/or illegal content"" (Ratings and Reviews Terms of Use), not captured by any other sub-category.",2,0,2,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,1,0,1,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,1,0,1,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_PHISHING,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,15,0,15,,356.53,,0,0,5,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,13,0,13,,356.53,,0,0,5,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,1,0,1,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,"Covers content that violates Zalando's Product & Brand Guidelines (Section 2.7), not captured by any other sub-category.",1,0,1,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,61,0,57,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,19,0,17,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,42,0,40,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_OTHER,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,13,0,13,,763.07,,0,0,1,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,11,0,11,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,0,0,,,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Zalando,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,,,,,0,0,0,0,,,,,,,,,,
