Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,16,0,70,0,806,0,10,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,2,0,31,0,48,0,1,0,0,0,- Signalement violation du droit d'auteur sur des photographies (2),,,,,,"- Retrait des produits concernés (1)
- Décision de ne pas agir sur la base d'une notification (1)",,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,2,0,7,0,1438,0,1,0,0,0,- Signalement contrefaçon de modèles (2),,,,En cours au 31/12/2025 : 1,,- Retrait des produits concernés (1),,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,4,0,10,0,2663,0,1,0,0,0,- Signalement violation de brevets (4),,,,En cours au 31/12/2025 : 1,,"- Décision de ne pas agir sur la base d'une notification (2)
- Retrait des produits concernés (1)",,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Accord de distribution sélective,8,0,22,0,174,0,7,0,0,0,- Signalement violation d'accords de distribution sélective (8),,,,En cours au 31/12/2025 : 1,,"- Retrait des produits (2)
- Décision de ne pas agir sur la base d'une notification (6)",,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,,0,,0,,0,,0,,0,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",Marketplace Carrefour.fr,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,,0,,0,,0,,0,,0,,,,,,,,,,
