Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures prises par des moyens automatisés uniquement,sv,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,bg,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,[...],,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Nombre de mesures non prises par des moyens automatisés,sv,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,bg,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,[...],,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,sv,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,bg,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,[...],,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,sv,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Précision,bg,,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Exactitude,[...],,
Uniquement pour les fournisseurs de VLOP,,2025-01-01/2025-12-31,Recours à des moyens automatisés à des fins de modération des contenus,Précision des moyens automatisés - Rappel,sv,,
