Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,AD_FRAUD_POLICY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,ENCOURAGEMENT_OF_DIGITAL_SECURITY_OR_TERMS_OF_SERVICE_VIOLATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,FRAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,MALWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,MALWARE_AND_PHISHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,MALWARE_AND_SYSTEM_CIRCUMVENTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,MISREPRESENTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,SCAMS,28845,13647,,28676,,,,,,,,,169,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,SOCIAL_ENGINEERING_TACTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,SELF_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_OTHER,SUICIDE_AND_SELF_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Help / Support,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
