Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,430,0,430,0,,,0,,0,,,,0,,,0,Includes DMCA as well as Trademark content removals. Flickr's current systems do not distinguish between copyright and trademark enforcement at the point of action. All IP removals are reported under copyright infringement. Flickr is working to separate these categories for future reporting.,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,430,0,430,0,,,0,,0,,,,0,,,0,Includes DMCA as well as Trademark content removals. Flickr's current systems do not distinguish between copyright and trademark enforcement at the point of action. All IP removals are reported under copyright infringement. Flickr is working to separate these categories for future reporting.,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,358,282,0,310,,,0,,0,,,,0,,,48,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,358,282,0,310,,,0,,0,,,,0,,,48,,Hash matched content has visibility proactively disabled pending human review.,,"Content can be manually or automatically disabled and either reversed, or confirmed resulting in account deletion on first offense.",,,,,,,,,,,,CSAM is a one-strike offense resulting in account termination.
All,Flickr,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexualization of minors. Includes exploitive or sexualizing content or conduct that does not rise to the level of illegality.,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,"Child nudity. While child nudity is permitted on Flickr provided it is not sexualizing or exploitive in any way (e.g., birthing photos, etc.), it must be non-public.",0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,Compromised accounts have visibility restricted pending approval from verified owner,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,"Risky account. Flickr automatically prevents the creation of new accounts from users suspected of engaging in prohibited spam or fraud activity, based on rules-based automated evaluation workflows (via third-party Sift).",0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_PHISHING,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,"Risky engagement. Flickr closes accounts of users engaging in prohibited spam or fraud activity, based on rules-based automated evaluation workflows (via third-party Sift).",0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
All,Flickr,2025-01-01/2025-12-31,KEYWORD_OTHER,Spam,0,0,0,0,,,0,,0,,,,0,,,0,,,,,,,,,,,,,,,,
