Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,426,0,361,0,6,0,0,0,209,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_HATE_SPEECH,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,573751,0,508381,0,15,0,320053,0,55702,0,,,,,,,,,This category may contain instances of suspected unauthorized image use.,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,0,0,14,0,113020,0,16223,0,"Since the platform is using the same category for all IPR noticices, for a more conservative data reporting methodology, all notices in this category are counted in STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS",,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,13,0,58059,0,0,0,"Since the platform is using the same category for all IPR noticices, for a more conservative data reporting methodology, all notices in this category are counted in STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS",,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Aliexpress,2025-07-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,16,0,148620,0,39470,0,"Since the platform is using the same category for all IPR noticices, for a more conservative data reporting methodology, all notices in this category are counted in STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS",,,,,,,,,
