Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other"" linked to our Community Guidelines",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,Finland,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,Finland,,,,,1,,00:47:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Inauthentic_Profiles,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Scams_Fraud_and_Theft,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Physical_and_Sexual_Violence,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Controlled_Goods_and_Substances,Finland,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,TOTAL,,France,,,,,8,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,France,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Bullying_and_Abusive_Conduct,France,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Sexual_Harassment,France,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,France,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Identity-Based_Hate,France,,,,,1,,00:05:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,France,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Child_Sexual_Exploitation_and_Abuse,France,,,,,,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,France,,,,,1,,,,,,,,,
All,Bumble,2025-01-01/2025-12-31,KEYWORD_OTHER,Terrorism_and_Violent_Extremism,France,,,,,1,,00:41:00,,,,,,,
All,Bumble,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,France,,,,,3,,,,,,,,,
