PROPRE INITIATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction du compte - Fin,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux marques,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autres,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,EFFETS NEFATIFS SUR LE DISCOURS CIVIQUE ET LES PROCESSUS ELECTORAUX,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Mésinformation, désinformation, activités de manipulation de l’information et d’ingérence menées depuis l’étranger",,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation du droit de l’UE relatif au discours civique ou aux processus électoraux,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation du droit national relatif au discours civique ou aux processus électoraux,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,Texte pour préciser le mot-clé «Autre».,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES MINEURS,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Restrictions liées à l’âge concernant les mineurs,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contenus à caractère pédopornographique,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
