NOTIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notification,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour prendre une action (signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,CYBER VIOLENCE A L'EGARD DES FEMMES,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Brimades et intimidation en ligne exercées sur les filles,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Cyberharcèlement à l’égard des femmes,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Traque furtive (stalking) en ligne affectant les femmes,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Désinformation fondée sur le genre,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation illicite à la violence et à la haine à l’égard des femmes,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,"Partage non consenti de matériel (à caractère intime) affectant les femmes, y compris (d’images) d’abus sexuels à l’encontre des femmes (à l’exclusion des contenus représentant des mineurs)",,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Partage non consenti de matériel créé à l’aide de technologies d’hypertrucage (deepfake) ou de technologies similaires et utilisant des caractéristiques d’un tiers affectant les femmes (à l’exclusion des contenus représentant des mineurs),,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Aurte,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,PROTECTION DES DONNES ET VIOLATIONS DE LA VIE PRIVEE,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Violation de données biométriques,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Falsification de données,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Absence de motif de traitement des données,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Droit à l’oubli numérique,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,DISCOURS ILLEGAL OU PREJUDICIABLE,,1,0,1,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Diffamation,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Discrimination,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Incitation illicite à la violence et à la haine fondées sur des caractéristiques protégées (discours haineux),,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Autre,,1,0,1,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,ATTEINTES A LA PROPRIETE INTELLECTUELLE,,4,0,4,0,168,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux droits d'auteur,,0,0,0,0,0,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Contrefaçons de dessins ou modèles,,3,0,3,0,168,0,,,,,,,,,,,,,,
Tous,Veepee - Privalia,2025-01-01  / 2025-12-31,Atteintes aux indications géographiques,,0,0,0,0,0,0,,,,,,,,,,,,,,
