Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,22811,398,103694,3891,0,26,0,0,692319,9218,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,7184,7,28290,17,0,16,0,0,190368,137,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,2497,34,7774,76,0,29,0,0,32762,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,817,1,3606,2,21,0,0,0,8095,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,615,11,2005,51,0,12,0,0,26694,98,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,9505,223,50200,2567,4,21,0,0,237130,7234,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_OTHER,"These represent notices that span multiple categories and may include case transfers between teams. For example, if a notice submitted through the notice intake channel for intellectual property infringement also addressed product safety topics.",2193,122,11819,1178,78,54,0,0,197270,1749,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,107,0,107,0,391,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,107,0,107,0,391,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Amazon Store,2026-01-01/2026-06-30,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
