Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"225,387","206,528","225,341",0,46,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,"66,628","48,582","66,628",0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_OTHER,"This subcategory encompasses violations of our Community Guidelines, specifically under our private information policy, regarding content or behavior that reveals personally identifiable information or other sensitive information, including:- Personal identity documents and information, such as social security (SSNs), national identity numbers, passport information, or other government-issued IDs- Private contact information such as residential addresses, email addresses, and phone numbers.- Health and medical records or other health-related data.- Online login information or account authentication data such as usernames, passwords, security questions and answers.- Personal financial information, such as credit card or bank account numbers, or any financial account details.- Other private information considered personal or confidential. ","158,759","157,946","158,713",0,46,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"5,326,962","5,312,474","1,245,531",0,"4,081,282",0,,,0,,,,,,0,149,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DEFAMATION,,0,0,0,0,0,0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
All,Pinterest,2025-07-01/2025-12-31,KEYWORD_DISCRIMINATION,,"183,774","183,148","6,605",0,"177,169",0,,,0,,,,,,0,0,,,,,,,,,,,,,,,,
