Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,lt,85,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,mt,7,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,pl,30573,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,pt,330,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,ro,483,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sk,144,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sl,22,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,es,4971,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Number of measures not taken by automated means,sv,282,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,bg,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,hr,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,cs,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,da,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,nl,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,en,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,et,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,fi,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,fr,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,de,0.6336,Local Reviews Automation
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,el,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,hu,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,ga,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,it,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,lv,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,lt,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,mt,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,pl,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,pt,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,ro,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sk,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sl,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,es,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Recall,sv,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,hr,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,cs,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,da,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,nl,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,en,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,et,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fi,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,fr,,
Only for VLOPs,Google Maps,2025-07-01/2025-12-31,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,0.7088,Local Reviews Automation
