Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monethise information,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monethise information,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monethise information,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision to restrict the ability to monethise information,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted in accordance with Article 16,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Internal complaints mechanism,Complaint regarding a decision not to take action on a notice submitted by a Trusted Flagger in accordance with Article 16,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions upheld,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions partially reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decisions reversed,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Median time,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Decision omitted,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Out-of-court dispute settlement bodies,Number of disputes submitted to out-of-court dispute settlement bodies,Percentage of outcomes implemented,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly illegal content,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded notices,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
Only for providers of online platforms,"Vimeo.com, Inc.",2025-01-01/2025-12-31,Suspensions imposed on repeated offenders,Number of suspensions enacted for the provision of manifestly unfounded complaints,Total number,N/A,"Vimeo.com, Inc. is not considered an online platform provider under the DSA."
