Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,30,0,27,0,83,0,10,0,6,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,22,0,20,0,83,0,10,0,3,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,4,0,4,0,24,0,0,0,3,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,4,0,4,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,118,0,90,0,18,0,0,0,16,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,32,0,23,0,4,0,0,0,5,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,29,0,27,0,5,0,0,0,6,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,23,0,20,0,140,0,0,0,3,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_PHISHING,,25,0,18,0,96,0,0,0,3,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,7,0,7,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,2,0,2,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,11,0,11,0,100,0,0,0,2,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,8,0,8,0,100,0,0,0,2,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,3,0,3,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,15,0,13,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_COORDINATED_HARM,,3,0,3,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,5,0,5,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,6,0,6,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,KEYWORD_OTHER,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",LinkedIn,2025-07-01/2025-12-31,STATEMENT_CATEGORY_NOT_SPECIFIED_NOTICE,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
