Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Cyber Violence,,833,,833,,"4 days, 22:03:30",,0,,109,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Scams And Fraud,,9,,9,,1 Hour,,0,,8,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Self Harm,,3,,3,,,,0,,0,,See note in P14,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,March 2025,Not Specified Order,Grief tactics,1289,,1289,,"5 days, 22:46:00",,0,,114,,See note in P17,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,TOTAL,,116,,116,,"2 days, 10:50:00",,0,,30,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Cyber Violence,,116,,116,,"2 days, 10:50:00",,0,,30,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Scams And Fraud,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV Forums,March 2025,Not Specified Order,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,TOTAL,,22,,22,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Cyber Violence,,22,,22,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Scams And Fraud,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Violence,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV The Lodestone,March 2025,Not Specified Order,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,TOTAL,,2411,,2411,,"7 days, 20:32:00",,0,,330,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Animal Welfare,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Consumer Information,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Cyber Violence,,1053,,1053,,"6 days, 22:10:00",,0,,197,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Cyber Violence Against Women,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Data Protection And Privacy Violations,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Illegal Or Harmful Speech,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Intellectual Property Infringements,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Negative Effects On Civic Discourse Or Elections,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Protection Of Minors,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Risk For Public Security,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Scams And Fraud,,123,,123,,1 Hour,,0,,41,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Self Harm,,0,,0,,,,0,,0,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",FFXIV,April 2025,Unsafe And Prohibited Products,,0,,0,,,,0,,0,,,,,,,,,,,
