Applicability,Service,Reporting period,Category of illegal content,"Description of the subcategory ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,0,0,0,0,10,0,432.63,,,,,,,"Of the orders to provide information where effect was given to the order, several required additional expert guidance, resulting in a higher median turnaround."
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,TOTAL,0,0,0,0,9,0,432.69,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,This subcategory encompasses orders received from EU Member States' authorities related to child endangerment.,TOTAL,0,0,0,0,1,0,25.53,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,46,590,0,2.76,6,0,0.98,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,TOTAL,46,590,0,2.76,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,"This subcategory encompasses orders received from EU Member States' authorities related to extortion, missing persons and national security.",TOTAL,0,0,0,0,5,0,0.98,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,0,0,0,0,9,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,0,0,0,0,9,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_PHISHING,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,TOTAL,0,0,0,0,3,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_COORDINATED_HARM,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_HUMAN_EXPLOITATION,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,TOTAL,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,TOTAL,0,0,0,0,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,This subcategory encompasses orders received from EU Member States' related to assault. ,TOTAL,0,0,0,0,2,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,TOTAL,0,0,0,0,4,0,0.82,,,,,These are orders to provide information from EU Member States' authorities where the issuing authority omitted a reference to a legal ground.,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,DE,0,0,0,0,21,0,0.98,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,DK,10,10,0,0.06,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,FR,13,552,0,2.89,4,0,25.53,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,IE,1,1,0,0.16,2,0,432.69,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,IT,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,NL,18,18,0,0.04,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,PL,0,0,0,0,4,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,TOTAL,,SE,4,9,0,0.22,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,DE,0,0,0,0,6,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,FR,0,0,0,0,1,0,25.53,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,IE,0,0,0,0,2,0,432.69,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,IT,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,DE,0,0,0,0,6,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,IE,0,0,0,0,2,0,432.69,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,IT,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,This subcategory encompasses orders received from EU Member States' authorities related to child endangerment.,FR,0,0,0,0,1,0,25.53,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,DE,0,0,0,0,5,0,0.98,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,DK,10,10,0,0.06,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,FR,13,552,0,2.89,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,IE,1,1,0,0.16,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,NL,18,18,0,0.04,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,SE,4,9,0,0.22,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_ILLEGAL_ORGANIZATIONS,,DE,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,DK,10,10,0,0.06,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,FR,13,552,0,2.89,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,IE,1,1,0,0.16,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,NL,18,18,0,0.04,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_TERRORIST_CONTENT,,SE,4,9,0,0.22,0,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,"This subcategory encompasses orders received from EU Member States' authorities related to extortion, missing persons and national security.",DE,0,0,0,0,4,0,0.98,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,"This subcategory encompasses orders received from EU Member States' authorities related to extortion, missing persons and national security.",FR,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,DE,0,0,0,0,5,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,FR,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,PL,0,0,0,0,3,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,DE,0,0,0,0,5,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,FR,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,PL,0,0,0,0,3,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_VIOLENCE,,DE,0,0,0,0,3,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_HUMAN_TRAFFICKING,,DE,0,0,0,0,1,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,KEYWORD_OTHER,This subcategory encompasses orders received from EU Member States' authorities related to assault. ,DE,0,0,0,0,2,0,0,,,,,,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,DE,0,0,0,0,2,0,0.82,,,,,These are orders to provide information from EU Member States' authorities where the issuing authority omitted a reference to a legal ground.,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,FR,0,0,0,0,1,0,0,,,,,These are orders to provide information from EU Member States' authorities where the issuing authority omitted a reference to a legal ground.,,
All,Pinterest,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NOT_SPECIFIED_ORDER,,PL,0,0,0,0,1,0,0,,,,,These are orders to provide information from EU Member States' authorities where the issuing authority omitted a reference to a legal ground.,,
