Zakres zastosowania,Usługa,Okres sprawozdawczy,Kategoria niezgodności z warunkami korzystania z usług dostawcy,Opis podkategorii „Inne”,Liczba środków przyjętych z własnej inicjatywy dostawcy,Liczba środków przyjętych po wykryciu treści przy użyciu wyłącznie zautomatyzowanych środków,Ograniczenie widoczności – usunięcie,Ograniczenie widoczności – uniemożliwienie dostępu,Ograniczenie widoczności – depozycjonowanie,Ograniczenie widoczności – objęcie ograniczeniem ze względu na wiek,Ograniczenie widoczności – ograniczenie możliwości interakcji,Ograniczenie widoczności – oznaczenie,Ograniczenie widoczności – inne,Ograniczenie pieniężne – zawieszenie,Ograniczenie pieniężne – zakończenie,Ograniczenie pieniężne – inne,Świadczenie usługi – zawieszenie,Świadczenie usługi – zakończenie,Ograniczenie konta – zawieszenie,Ograniczenie konta – zamknięcie,Informacje kontekstowe na temat liczby środków przyjętych z własnej inicjatywy dostawcy,Informacje kontekstowe na temat liczby środków przyjętych po wykryciu treści przy użyciu wyłącznie zautomatyzowanych środków,Informacje kontekstowe na temat ograniczenia widoczności poprzez usunięcie,Informacje kontekstowe na temat ograniczenia widoczności poprzez uniemożliwienie dostępu,Informacje kontekstowe na temat ograniczenia widoczności poprzez depozycjonowanie,Informacje kontekstowe na temat ograniczenia widoczności poprzez objęcie ograniczeniem ze względu na wiek,Informacje kontekstowe na temat ograniczenia widoczności poprzez ograniczenie możliwości interakcji,Informacje kontekstowe na temat ograniczenia widoczności poprzez oznaczenie,Informacje kontekstowe na temat ograniczenia widoczności poprzez zastosowanie innych środków,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zakończenie,Informacje kontekstowe na temat ograniczenia pieniężnego poprzez zastosowanie innych środków,Informacje kontekstowe na temat ograniczenia świadczenia usługi poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia świadczenia usługi poprzez zakończenie,Informacje kontekstowe na temat ograniczenia konta poprzez zawieszenie,Informacje kontekstowe na temat ograniczenia konta poprzez zamknięcie
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-41,KEYWORD_NONCOMPLIANCE_PRICING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-42,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-43,STATEMENT_CATEGORY_CYBER_VIOLENCE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-44,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-45,KEYWORD_CYBER_HARASSMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-46,KEYWORD_CYBER_INCITEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-47,KEYWORD_CYBER_STALKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-48,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-49,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-50,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-51,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-52,KEYWORD_BULLYING_AGAINST_GIRLS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-53,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-54,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-55,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-56,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-57,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-58,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-59,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-60,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-61,KEYWORD_BIOMETRIC_DATA_BREACH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-62,KEYWORD_DATA_FALSIFICATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-63,KEYWORD_MISSING_PROCESSING_GROUND,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-64,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-65,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-66,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-67,KEYWORD_DEFAMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-68,KEYWORD_DISCRIMINATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-69,KEYWORD_HATE_SPEECH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wszyscy,Sklep internetowy x-kom,2024-02-16/2024-12-70,KEYWORD_OTHER,Tekst w celu uszczegółowienia słowa kluczowego „Inne”.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
