Applicabilité,Service,Période couverte par le rapport,Section,Indicateur,Champ d’application,Valeur,Informations contextuelles
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Nombre total,0,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions confirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Décisions infirmées,0,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Mécanisme interne de traitement des réclamations,Réclamation contestant une décision de ne pas entreprendre d’action au titre d’une notification soumise par un signaleur de confiance conformément à l’article 16,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Nombre total,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions confirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions partiellement infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions infirmées,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Délai médian,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Décisions non prises,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Organes de règlement extrajudiciaire des litiges,Nombre de litiges transmis aux organes de règlement extrajudiciaire des litiges,Pourcentage des résultats mis en œuvre,,
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la fourniture de contenus manifestement illicites,Nombre total,32974,Nombres de bannissements définitifs effectués suite à la publication de contenus illicites. Le bannissement définitif d'un compte entraîne l'impossibilité pour son propriétaire de poster à nouveau des messages. Il a néanmoins toujours accès au site en lecture seule.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la soumission de notifications manifestement infondées,Nombre total,200,Il s'agit des bannissements que nous prononçons contre les personnes qui ont soumis de trop nombreuses notifications infondées pour arrêter qu'elles floodent le système.
Uniquement pour les fournisseurs de plateformes en ligne,JV,2025-01-01/2025-12-31,Suspensions imposées aux récidivistes,Nombre de suspensions prononcées en raison de la soumission de réclamations manifestement infondées,Nombre total,5,Il s'agit des bannissements prononcées à l'encontre des personnes qui ont soumis de trop nombreuses réclamations infondées.
