Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means ,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for providers of online platforms,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NAM Trusted Flagger,,"All Article 16 DSA notices, including Trusted Flaggers notices, are processed using manual review. Instances of duplicate submissions are handled by applying the original manual decision, to avoid conflicting decisions. "
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,bg,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,bg,0.93,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,bg,0.58,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,cs,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,cs,0.90,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,cs,0.57,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,da,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,da,0.93,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,da,0.48,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
Only for VLOPs,Instagram,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,de,1.00,Indicators of accuracy per language are provided for content in instances where language prediction was available and applicable. 
