Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,5099,,,,,,,,871,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,5099,,,,15,,,,871,,,,,,This number has been rounded to the nearest integer.,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_OTHER,Other activity involving potential threats of violence.,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,0,,,,,,,,,,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Whatnot,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,0,,,,,,,,,,,,,,,,,,,
