Anwendbarkeit,Dienst,Berichtszeitraum,Kategorie illegaler Inhalte,Beschreibung der Unterkategorie „Sonstige“,Anzahl der auf Eigeninitiative des Anbieters ergriffenen Maßnahmen,Anzahl der nach der Erkennung ausschließlich automatisch ergriffenen Maßnahmen,Einschränkung der Sichtbarkeit: Entfernung,Einschränkung der Sichtbarkeit: Sperrung,Einschränkung der Sichtbarkeit: Herabstufung,Einschränkung der Sichtbarkeit: Altersbeschränkung,Einschränkung der Sichtbarkeit: Beschränkte Interaktion,Einschränkung der Sichtbarkeit: Kennzeichnung,Einschränkung der Sichtbarkeit: Sonstige,Monetäre Beschränkung: Aussetzung,Monetäre Beschränkung: Beendigung,Monetäre Beschränkung: Sonstige,Bereitstellung des Dienstes: Aussetzung,Bereitstellung des Dienstes: Beendigung,Kontobeschränkung: Aussetzung,Kontobeschränkung: Schließung,Hintergrundinformationen zur Anzahl der auf Eigeninitiative des Anbieters ergriffenen Maßnahmen,Hintergrundinformationen zur Anzahl der nach der Erkennung ausschließlich automatisch ergriffenen Maßnahmen,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Entfernung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Sperrung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Herabstufung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Altersbeschränkung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Beschränkte Interaktion,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Kennzeichnung,Hintergrundinformationen zur Einschränkung der Sichtbarkeit: Sonstige,Hintergrundinformationen zur monetären Beschränkung: Aussetzung,Hintergrundinformationen zur monetären Beschränkung: Beendigung,Hintergrundinformationen zur monetären Beschränkung: Sonstige,Hintergrundinformationen zur Bereitstellung des Dienstes: Aussetzung,Hintergrundinformationen zur Bereitstellung des Dienstes: Beendigung,Hintergrundinformationen zur Kontobeschränkung: Aussetzung,Hintergrundinformationen zur Kontobeschränkung: Schließung
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PHISHING,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_OTHER,Text zur Präzisierung des Stichworts „Sonstige“.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Alle,GMX & WEB.DE,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
