Applicabilité,Service,Période couverte par le rapport,Catégorie d’incompatibilité avec les conditions générales du fournisseur,Description de la sous-catégorie «Autre»,Nombre de mesures prises par le fournisseur de sa propre initiative,Nombre de mesures prises après détection par des moyens automatisés uniquement,Restriction de la visibilité - Retrait,Restriction de la visibilité - Accès rendu impossible,Restriction de la visibilité - Déclassement,Restriction de la visibilité - Limite d’âge,Restriction de la visibilité - Limite d’interaction,Restriction de la visibilité - Labellisation,Restriction de la visibilité - Autre,Restriction des paiements monétaires - Suspension,Restriction des paiements monétaires - Fin,Restriction des paiements monétaires - Autre,Fourniture du service - Suspension,Fourniture du service - Fin,Restriction du compte - Suspension,Restriction du compte - Suppression,Informations contextuelles sur Nombre de mesures prises par le fournisseur de sa propre initiative,Informations contextuelles sur Nombre de mesures prises après détection par des moyens automatisés uniquement,Informations contextuelles sur Restriction de la visibilité - Retrait,Informations contextuelles sur Restriction de la visibilité - Accès rendu impossible,Informations contextuelles sur Restriction de la visibilité - Déclassement,Informations contextuelles sur Restriction de la visibilité - Limite d’âge,Informations contextuelles sur Restriction de la visibilité - Limite d’interaction,Informations contextuelles sur Restriction de la visibilité - Labellisation,Informations contextuelles sur Restriction de la visibilité - Autre,Informations contextuelles sur Restriction des paiements monétaires - Suspension,Informations contextuelles sur Restriction des paiements monétaires - Fin,Informations contextuelles sur Restriction des paiements monétaires - Autre,Informations contextuelles sur Fourniture du service - Suspension,Informations contextuelles sur Fourniture du service - Fin,Informations contextuelles sur Restriction du compte - Suspension,Informations contextuelles sur Restriction du compte - Suppression
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_COORDINATED_HARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_HUMAN_TRAFFICKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ADULT_SEXUAL_MATERIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tous,,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
