Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled ,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_ILLEGALITY,Added category to record own initiative actions taken against likely locally illegal harmful speech.,"19,582","18,225",,"19,531",,,,,51,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_INTELLECTUAL_PROPERTY_INFRINGEMENTS_THIRD_PARTY_VIOLATION_OR_DATA_VIOLATION,Added category to capture instances where actions are taken against our Community Standards on third-party intellectual property,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,25,0,,16,,,,,9,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,8,0,,4,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,16,0,,12,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_POLITICAL_ADVERTISING,"Added category to record own initiative actions taken against our Advertising Standards on ads about social issues, elections or politics ",0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
All,Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_INELIGIBLE_USER,"Added category to capture own initiative actions taken against our monetization rules for politicians and governments 

",0,0,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
