Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_TRESPASS_PROPERTY_AND_ENVIRONMENTAL_DAMAGE,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_PUBLIC_SECURITY,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,1,"4,819",9,"86,729",,71.1,0,0,0,397,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_ACCOUNTS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_LISTINGS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_PHISHING,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_PYRAMID_SCHEMES,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_FINANCIAL_FRAUDS_SCAMS,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_FRAUD_AND_DECEPTION,Added category to record Article 16 user notice submissions alleging fraud.,1,"4,819",9,"86,729",,71.1,0,0,0,397,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_SPAM,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_GAMBLING,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_OTHER_FAKE_ENGAGEMENT,This row was added for use in other parts of our report. We have included it here for consistency across the report.,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_SELF_HARM,,1,1,1,1,,67.9,0,0,0,1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_SELF_MUTILATION,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_SUICIDE,,1,1,1,1,,67.9,0,0,0,1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,0,26,0,144,0.0,48.1,0,0,0,15,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_PROHIBITED_PRODUCTS,"Category is inclusive of Article 16 notices related to drugs, firearms and other prohibited products.",0,3,0,19,0.0,311.3,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",Facebook,2026-01-01/2026-06-30,KEYWORD_UNSAFE_PRODUCTS,,0,0,0,0,0.0,0.0,0,0,0,0,,,,,,,,,,
