Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",FI,0,0,,0,5,,170,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",FR,1,1,,6,67,,94,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",GR,0,0,,0,6,,222,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",HR,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",HU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",IE,0,0,,0,1,,2818,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",IT,42,0,,4,31,,216,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",LV,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",MT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",NL,0,0,,0,20,,93,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",PL,0,0,,0,0,,24,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",PT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",RO,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",SE,0,0,,0,4,,26,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 3e,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,"Under this category, we consider member state orders for: Sextortion, Non-Consensual Sharing of Private or Intimate Images.",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,AT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,BE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,BG,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,CY,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,CZ,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,DE,5,13,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,DK,1,1,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,EE,6,9,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,ES,1,1,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,FI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,FR,49,97,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,GR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,HR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,HU,3,4,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,IE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,IT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,LT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,LU,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,LV,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,MT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,NL,2,2,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,PL,1,1,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,PT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,RO,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,SE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,SI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,SK,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",AT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",BE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",BG,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",CY,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",CZ,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",DE,5,13,,68,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",DK,1,1,,7,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",EE,6,9,,1,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",ES,1,1,,44,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",FI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",FR,49,97,,3,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",GR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",HR,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",HU,3,4,,12,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",IE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",IT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",LT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",LU,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",LV,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",MT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",NL,2,2,,16,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",PL,1,1,,24,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",PT,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",RO,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",SE,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",SI,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",SK,0,0,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,AT,0,0,,0,45,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,BE,4,4,,0,19,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,BG,0,0,,0,3,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,CZ,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,DE,103,543,,0,1712,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,DK,1,0,,0,8,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,ES,1,13,,0,139,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,FI,0,0,,0,14,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,FR,36,133,,0,113,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,GR,0,0,,0,53,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,HR,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,HU,3,3,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,IE,0,0,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,IT,0,0,,0,107,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,LT,1,13,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,LU,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,LV,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,MT,0,0,,0,1,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,NL,0,0,,0,18,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,PL,1,1,,0,22,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,PT,0,0,,0,5,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,RO,34,144,,0,2,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,SE,0,0,,0,24,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",AT,0,0,,0,2,,45,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",BE,0,0,,0,8,,149,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",BG,0,0,,0,2,,72,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",CZ,0,0,,0,1,,27,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",DE,0,0,,0,211,,105,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",DK,0,0,,0,7,,30,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",ES,0,0,,0,75,,133,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",FI,0,0,,0,12,,59,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",FR,0,0,,0,41,,148,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",GR,0,0,,0,25,,193,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",HR,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",HU,0,0,,0,2,,1080,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",IE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",IT,0,0,,0,87,,291,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",LT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",LU,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",LV,0,0,,0,1,,488,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",MT,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",NL,0,0,,0,12,,41,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",PL,0,0,,0,11,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",PT,0,0,,0,5,,1680,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",RO,0,0,,0,1,,146,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",SE,0,0,,0,19,,114,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",SI,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6a,KEYWORD_DEFAMATION,"Under this category, we consider member state orders for: Criminal Defamation and Defamation.",SK,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",AT,0,0,,0,43,,158,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",BE,4,4,,17,11,,143,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",BG,0,0,,0,1,,31,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",CY,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",CZ,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",DE,103,543,,4,1501,,84,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",DK,1,0,,94,1,,249,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",EE,0,0,,0,0,,0,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",ES,1,13,,23,64,,77,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6c,KEYWORD_HATE_SPEECH,"Under this category, we consider member state orders for: Hate Speech and Illegal Hate Speech.",FI,0,0,,0,2,,97,,,,,,,
