Applicability,Service,Reporting period,Category label,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Tiktok,2026-01-01/2026-06-30,Category 4f,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4g,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 4h,KEYWORD_OTHER,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,TOTAL,68,128,,0,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5a,KEYWORD_BIOMETRIC_DATA_BREACH,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5b,KEYWORD_DATA_FALSIFICATION,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5c,KEYWORD_MISSING_PROCESSING_GROUND,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5d,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,TOTAL,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 5e,KEYWORD_OTHER,"Under this category, we consider member state orders for: Illegal Privacy-Related Violations and Information-Related Offences / Contempt of Court.",TOTAL,68,128,,4,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Category 6,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,184,854,,0,2293,,0,,,,,,,
