Applicability,Service,Reporting period,Section,Indicator,Scope,Value,Contextual Information,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,BG,6919694,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,BG,349991,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,BG,0.945,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,BG,0.991,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,BG,0.953,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,CY,798843,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,CY,203087,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,CY,0.778,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,CY,0.973,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,CY,0.795,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,CZ,4459143,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,CZ,376864,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,CZ,0.901,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,CZ,0.976,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,CZ,0.922,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,DE,26758813,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,DE,1287590,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,DE,0.922,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,DE,0.963,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,DE,0.956,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,DK,2155237,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,DK,423881,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,DK,0.816,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,DK,0.975,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,DK,0.833,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,EE,852281,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,EE,255222,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,EE,0.742,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,EE,0.962,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,EE,0.764,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,ES,31434142,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,ES,1099049,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,ES,0.95,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,ES,0.982,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,ES,0.967,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,FI,2694687,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,FI,419588,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,FI,0.832,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,FI,0.96,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,FI,0.862,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,FR,22978486,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,FR,1079966,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,FR,0.926,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,FR,0.966,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,FR,0.958,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,GR,4087519,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,GR,384427,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,GR,0.898,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,GR,0.98,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,GR,0.915,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,HR,1031289,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,HR,287441,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,HR,0.767,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,HR,0.976,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,HR,0.781,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,HU,3531805,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,HU,349942,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,HU,0.893,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,HU,0.979,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,HU,0.91,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,IE,3528082,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,IE,473204,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,IE,0.848,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,IE,0.96,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,IE,0.879,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,IT,32409662,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,IT,1148506,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,IT,0.95,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,IT,0.982,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,IT,0.966,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,LT,1389969,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,LT,311587,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,LT,0.791,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,LT,0.966,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,LT,0.813,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,LU,213623,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,LU,6425,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,LU,0.947,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,LU,0.973,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,LU,0.973,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,LV,1515601,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,LV,285505,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,LV,0.811,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,LV,0.961,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,LV,0.838,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,MT,220467,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,MT,4133,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,MT,0.961,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,MT,0.976,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,MT,0.984,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,NL,11821640,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,NL,679729,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,NL,0.913,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,NL,0.963,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,NL,0.946,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,PL,13605362,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,PL,797828,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,PL,0.909,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,PL,0.96,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,PL,0.945,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,PT,2252493,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,PT,455442,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,PT,0.811,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,PT,0.971,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,PT,0.83,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,RO,17280947,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,RO,560175,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,RO,0.955,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,RO,0.985,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,RO,0.969,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,SE,5776939,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,SE,450843,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,SE,0.896,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,SE,0.964,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,SE,0.927,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,SI ,508156,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,SI ,261026,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,SI ,0.647,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,SI ,0.974,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,SI ,0.657,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,SK,2127754,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,SK,239228,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Accuracy,SK,0.888,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Precision,SK,0.986,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Accuracy of the automated means - Recall,SK,0.899,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures solely taken by automated means,total,206727421,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of measures not taken by automated means,total,13149128,"Number of actions taken by humans, following automated review",,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices solely processed by automated means,,,,,,,,,,,,,,
All,Tiktok,2026-01-01/2026-06-30,Use of automated means for content moderation,Number of notices not processed by automated means,,,,,,,,,,,,,,
