Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Number of notices received ,Number of notices received from Trusted flaggers,Number of specific items of information included in the total number of notices,Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Median time to take action,Median time to take action (Trusted Flagger notices),Number of actions taken on the basis of the law,Number of actions taken on the basis of the law (Trusted Flagger notices),Number of actions taken on the basis of the terms and conditions of the service,Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices),Contextual information on Number of notices received ,Contextual information on Number of notices received from Trusted flaggers,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Number of specific items of information included in the total number of notices by Trusted Flaggers (Trusted Flagger notices),Contextual information on Median time to take action,Contextual information on Median time to take action (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the law (Trusted Flagger notices),Contextual information on Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of actions taken on the basis of the terms and conditions of the service (Trusted Flagger notices)
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,"2,732",0,"3,338",0,5.2667,,709,0,"1,907",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,"Includes notices concerning non-consensual behaviour reclassified to this category, as well as notices where the reporter selected 'Other' or did not specify a sub-category under Cyber violence.","3,344",22,"3,895",22,3.8167,31.3833,"1,035",1,"2,077",21,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,"22,160",52,"28,661",230,2.05,0.1667,"8,562",29,"12,571",13,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_BULLYING_AGAINST_GIRLS,,"1,663",4,"1,967",10,2.05,1.9833,477,0,"1,130",4,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,"5,848",0,"7,641",0,2.3333,,"2,278",0,"3,309",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,"1,622",0,"2,549",0,4.85,,372,0,"1,185",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,535,0,569,0,1.7,,148,0,360,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_INCITEMENT_AGAINST_WOMEN,,"9,588",3,"11,558",3,1.2,0.0667,"4,622",3,"4,543",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,"1,040",45,"1,405",217,4.9833,0.15,276,26,690,9,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,"1,860",0,"2,968",0,6.8833,,386,0,"1,354",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,,4,0,4,0,,,3,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,"12,618",26,"14,539",54,5.05,1.8,"2,127",1,"9,593",24,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_BIOMETRIC_DATA_BREACH,,"1,868",1,"2,025",1,4.55,2.3667,304,0,"1,440",1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_DATA_FALSIFICATION,,"1,447",2,"1,492",2,4.2833,0.1167,263,0,"1,069",2,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_MISSING_PROCESSING_GROUND,,"1,652",0,"1,763",0,5.6,,337,0,"1,184",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,"1,630",4,"2,306",10,5.8667,2.05,311,0,"1,213",4,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Data protection & privacy violations.,"6,021",19,"6,953",41,5,0.7833,912,1,"4,687",17,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,"177,281","1,704","272,908","2,352",1.05,0.8667,"85,724","1,370","82,880",297,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_DEFAMATION,,"44,630",37,"62,655",61,0.95,0.35,"17,256",19,"25,484",17,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_DISCRIMINATION,,"19,777",27,"28,803",27,1.2,0.1,"10,337",23,"7,860",4,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_HATE_SPEECH,,"86,120","1,471","134,811","2,095",1.1667,1.0167,"43,003","1,181","39,232",254,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,"Includes defamation and insult notices (counted separately under the defamation sub-category), as well as notices where the reporter selected 'Other' or did not specify a sub-category under Illegal or harmful speech.","26,754",169,"46,639",169,0.8333,0.15,"15,128",147,"10,304",22,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,"51,363",0,"51,363",0,0.0494,,0,0,"50,672",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_COPYRIGHT_INFRINGEMENT,,"51,038",0,"51,038",0,0.0492,,0,0,"50,377",0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_DESIGN_INFRINGEMENT,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_PATENT_INFRINGEMENT,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_TRADE_SECRET_INFRINGEMENT,,0,0,0,0,,,0,0,0,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_TRADEMARK_INFRINGEMENT,,84,0,84,0,2.8006,,0,0,74,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,Includes notices related to counterfeit ,241,0,241,0,1.2554,,0,0,221,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,"8,846",3,"12,090",3,2.35,19.4167,"1,076",1,"7,045",2,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_MISINFORMATION_DISINFORMATION,,"5,458",2,"7,701",2,2.1333,0.2167,429,1,"4,587",1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_VIOLATION_EU_LAW,,"1,100",0,"1,445",0,2.15,,235,0,786,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_VIOLATION_NATIONAL_LAW,,"1,648",1,"2,235",1,2.85,19.4167,261,0,"1,256",1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,Includes notices where the reporter selected 'Other' or did not specify a sub-category under Negative effects on civic discourse or elections.,640,0,709,0,3.9167,,151,0,416,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,"112,131",39,"225,416",66,4.6,7.85,"17,445",12,"88,144",23,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,"38,117",14,"43,357",29,4.55,23.0333,"11,480",5,"23,841",8,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,"65,074",19,"170,238",23,4.55,11.6667,"4,685",7,"57,285",9,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,"1,837",1,"2,003",1,6.2333,3.35,199,0,"1,415",1,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,"3,770",2,"4,169",4,4.6833,3.8167,250,0,"3,407",2,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_UNSAFE_CHALLENGES,,516,0,564,0,9.2167,,220,0,268,0,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,KEYWORD_OTHER,"Includes notices reclassified from 'Pornography or sexualized content' (all sub-categories) and 'Age-specific restrictions', as well as  notices where the reporter selected 'Other' or did not specify a sub-category under Protection of minors.","2,817",3,"5,085",9,4.4333,0.65,611,0,"1,928",3,,,,,,,,,,
"Only for providers of hosting services, including online platforms",X,2026-01-01/2026-06-30,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,"8,161",0,"12,288",0,4.1167,,"1,715",0,"5,821",0,,,,,,,,,,
