Applicabilité,Service,Période couverte par le rapport,Catégorie de contenu illicite,Description de la sous-catégorie «Autre»,Nombre de notifications reçues,Nombre de notifications reçues de signaleurs de confiance,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Délai médian nécessaire pour entreprendre une action,Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base de la législation,Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Nombre d’actions entreprises sur la base des conditions générales applicables au service,Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre de notifications reçues,Informations contextuelles sur Nombre de notifications reçues de signaleurs de confiance,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications,Informations contextuelles sur Nombre d’éléments d’information spécifiques inclus dans le nombre total de notifications soumises par des signaleurs de confiance (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Délai médian nécessaire pour entreprendre une action,Informations contextuelles sur Délai médian nécessaire pour entreprendre une action (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation,Informations contextuelles sur Nombre d’actions entreprises sur la base de la législation (notifications émanant d’un signaleur de confiance),Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service,Informations contextuelles sur Nombre d’actions entreprises sur la base des conditions générales applicables au service (notifications émanant d’un signaleur de confiance)
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,"Cela inclut les images ainsi que les sites. . 

Comme évoqué ci-dessus, les notifications reçues sont à destination de Qwant et non Lilo. Ainsi, toute mesure de déréférencement mise en œuvre sur le moteur de recherche Qwant s’applique automatiquement, par effet technique, aux résultats accessibles via Lilo lorsque les liens concernés y figurent. Dans un souci de transparence et d’exhaustivité, il a donc été décidé d’inclure dans le présent rapport les  notifications reçues de signaleur de confiance depuis le 1er septembre 2025.",,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_OTHER,Texte pour préciser le mot-clé «Autre».,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_ACCOUNTS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PHISHING,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SCAM,"Tout contenu visant à promouvoir, faciliter ou renvoyer vers des sites frauduleux, des escroqueries, des tentatives de phishing ou tout autre dispositif destiné à tromper les utilisateurs ou à capter frauduleusement des données, des fonds ou des informations personnelles.",,,,,,,,,,,"Cela inclut les images ainsi que les sites. 

Comme évoqué ci-dessus, les notifications reçues sont à destination de Qwant et non Lilo. Ainsi, toute mesure de déréférencement mise en œuvre sur le moteur de recherche Qwant s’applique automatiquement, par effet technique, aux résultats accessibles via Lilo lorsque les liens concernés y figurent. Dans un souci de transparence et d’exhaustivité, il a donc été décidé d’inclure dans le présent rapport les  notifications reçues de signaleur de confiance depuis le 1er septembre 2025.",,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,,,
"Uniquement pour les fournisseurs de services d’hébergement, y compris les plateformes en ligne",,AAAA-MM-JJ/AAAA-MM-JJ,KEYWORD_SUICIDE,,,,,,,,,,,,,,,,,,,,,
