Applicability,Service,Reporting period,Category of illegal content,"Description of the sub-category ""Other""",Scope,Number of orders to act against illegal content received,Number of specific items of information included in the total number of orders to act against illegal content,Median time to inform the authority of the receipt of the order to act against illegal content,Median time to give effect to the receipt of the order to act against illegal content,Number of orders to provide information,Median time to inform the authority of the receipt of the order to provide information,Median time to give effect to the order to provide information,Contextual information on number of orders to act against illegal content received,Contextual information on number of specific items of information included in the total number of orders to act against illegal content,Contextual information on Median time to inform the authority of the receipt of the order to act against illegal content,Contextual information on Median time to give effect to the order to act against illegal content,Contextual information on Number of orders to provide information,Contextual information on Median time to inform the authority of the receipt of the order to provide information,Contextual information on Median time to give effect to the order to provide information
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_HARASSMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_INCITEMENT,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_STALKING,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_BULLYING_AGAINST_GIRLS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_FEMALE_GENDERED_DISINFORMATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_INCITEMENT_AGAINST_WOMEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING_AGAINST_WOMEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE_AGAINST_WOMEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_HATE_SPEECH,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_OTHER,,,,,,,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,IT,,,,,1,0,672,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,BE,BE,1372,0,350,,,,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_COPYRIGHT_INFRINGEMENT,,IT,,,,,1,0,672,,,,,,,
All,Cloudflare,2025-07-01/2025-12/31,KEYWORD_COPYRIGHT_INFRINGEMENT,,BE,2,1372,0,350,,,,,,,,,,
